country,country_name,title,release_date,vote_average,vote_count
US,United States,Selena Gomez: My Mind & Me,2022-11-04,8.558,474
US,United States,Gabriel's Rapture: Part II,2022-03-24,8.2,86
US,United States,Puss in Boots: The Last Wish,2022-12-07,8.215,8250
US,United States,Top Gun: Maverick,2022-05-21,8.175,9927
US,United States,Purple Hearts,2022-07-29,8.084,2682
US,United States,Guillermo del Toro's Pinocchio,2022-11-09,8.058,3074
US,United States,Gabriel's Rapture: Part III,2022-08-12,7.9,126
US,United States,Thirteen Lives,2022-07-18,7.9,1336
US,United States,Mortal Kombat Legends: Snow Blind,2022-10-09,7.8,210
US,United States,Redeeming Love,2022-01-21,7.833,630
JP,Japan,Teasing Master Takagi-san: The Movie,2022-06-10,8.5,130
JP,Japan,The Quintessential Quintuplets Movie,2022-05-20,8.3,411
JP,Japan,Kaguya-sama: Love Is War -The First Kiss That Never Ends-,2022-12-17,8.0,77
JP,Japan,Love Like the Falling Petals,2022-03-24,8.0,96
JP,Japan,Suzume,2022-11-11,7.918,1496
JP,Japan,Dragon Ball Super: Super Hero,2022-06-11,7.892,2902
JP,Japan,The Seven Deadly Sins: Grudge of Edinburgh Part 1,2022-12-20,7.8,267
JP,Japan,The First Slam Dunk,2022-12-03,7.761,460
JP,Japan,"The Tunnel to Summer, the Exit of Goodbyes",2022-09-09,7.7,213
JP,Japan,Sword Art Online the Movie – Progressive – Scherzo of Deep Night,2022-10-22,7.7,192
IN,India,Drishyam 2,2022-11-18,7.9,82
IN,India,Sita Ramam,2022-08-05,7.8,79
IN,India,RRR,2022-03-24,7.757,1416
IN,India,Vikram,2022-06-02,7.664,131
IN,India,777 Charlie,2022-06-10,7.6,51
IN,India,K.G.F: Chapter 2,2022-04-14,7.438,169
IN,India,Gangubai Kathiawadi,2022-02-24,7.4,164
IN,India,The Elephant Whisperers,2022-12-07,7.352,125
IN,India,The Kashmir Files,2022-03-11,7.261,69
IN,India,Jana Gana Mana,2022-04-28,7.2,56
GB,United Kingdom,"The Boy, the Mole, the Fox and the Horse",2022-12-25,8.228,637
GB,United Kingdom,My Policeman,2022-10-20,7.6,725
GB,United Kingdom,The Eight Mountains,2022-12-21,7.623,754
GB,United Kingdom,Gigi & Nate,2022-09-02,7.61,132
GB,United Kingdom,The Banshees of Inisherin,2022-10-20,7.451,2964
GB,United Kingdom,The Swimmers,2022-11-24,7.429,586
GB,United Kingdom,Ricky Gervais: SuperNature,2022-05-24,7.414,295
GB,United Kingdom,Enola Holmes 2,2022-11-30,7.346,1548
GB,United Kingdom,Mrs. Harris Goes to Paris,2022-07-15,7.3,452
GB,United Kingdom,Downton Abbey: A New Era,2022-04-27,7.21,517
CN,China,New Gods: Yang Jian,2022-08-19,7.5,75
CN,China,Return to Dust,2022-07-08,7.291,187
CN,China,Warriors of Future,2022-08-05,7.05,432
CN,China,Moon Man,2022-07-29,6.9,89
CN,China,The Great Arms Robbery,2022-04-09,6.4,63
CN,China,A Short Story,2022-04-07,6.354,65
CN,China,The Battle at Lake Changjin II: Water Gate Bridge,2022-02-01,6.348,79
CN,China,"Run, Tiger Run!",2022-02-01,5.9,55
CN,China,One Week Friends,2022-06-18,5.9,120
CN,China,The Lake,2022-08-18,5.698,86
KR,South Korea,BTS: Permission to Dance on Stage - LA,2022-09-08,8.9,158
KR,South Korea,20th Century Girl,2022-10-06,8.2,735
KR,South Korea,In Our Prime,2022-03-18,7.991,53
KR,South Korea,The Killer,2022-07-13,7.7,387
KR,South Korea,Remember,2022-10-26,7.5,93
KR,South Korea,Emergency Declaration,2022-08-03,7.5,382
KR,South Korea,2037,2022-06-08,7.4,65
KR,South Korea,The Night Owl,2022-11-23,7.4,53
KR,South Korea,Next Sohee,2022-11-21,7.4,113
KR,South Korea,Decision to Leave,2022-06-29,7.3,1293
